GISJOIN,YEAR,STUSAB,ZCTA5A,ZCTA_NAME,Total,Under0.5,0.5_0.99,1.00_1.24,1.25_1.49,1.50_1.84,1.85_1.99,Over2.0,Poverty_Dummy,Pct_Agg
G01075,2015-2019,US,1075,ZCTA5 01075,15216,497,965,536,256,797,265,11900,0,9.608307045
G01077,2015-2019,US,1077,ZCTA5 01077,9648,517,224,111,379,467,185,7765,0,7.680348259
G01079,2015-2019,US,1079,ZCTA5 01079,781,0,0,288,0,63,55,375,0,0
G01080,2015-2019,US,1080,ZCTA5 01080,2709,407,267,67,144,119,209,1496,0,24.88002953
G01081,2015-2019,US,1081,ZCTA5 01081,1862,29,77,25,94,172,82,1383,0,5.692803437
G01082,2015-2019,US,1082,ZCTA5 01082,10544,777,556,361,695,351,79,7725,0,12.642261
G01083,2015-2019,US,1083,ZCTA5 01083,3094,67,338,73,265,221,16,2114,0,13.08985133
G01084,2015-2019,US,1084,ZCTA5 01084,168,8,4,0,0,12,0,144,0,7.142857143
G01085,2015-2019,US,1085,ZCTA5 01085,38655,1058,1713,1706,1400,2031,1098,29649,0,7.168542233
G01086,2015-2019,US,1086,ZCTA5 01086,0,0,0,0,0,0,0,0,0,#DIV/0!
G01088,2015-2019,US,1088,ZCTA5 01088,509,65,26,31,0,11,0,376,0,17.87819253
G01089,2015-2019,US,1089,ZCTA5 01089,28457,1866,1361,1563,953,2260,364,20090,0,11.33991637
G01092,2015-2019,US,1092,ZCTA5 01092,1278,50,21,18,29,42,0,1118,0,5.555555556
G01093,2015-2019,US,1093,ZCTA5 01093,313,3,22,6,0,3,15,264,0,7.987220447
G01094,2015-2019,US,1094,ZCTA5 01094,387,10,23,0,66,72,0,216,0,8.527131783
G01095,2015-2019,US,1095,ZCTA5 01095,14386,182,212,326,300,461,0,12905,0,2.738773808
G01096,2015-2019,US,1096,ZCTA5 01096,2438,102,89,22,83,57,18,2067,0,7.834290402
G01097,2015-2019,US,1097,ZCTA5 01097,56,0,40,0,0,0,0,16,1,71.42857143
G01098,2015-2019,US,1098,ZCTA5 01098,1255,19,59,14,38,43,34,1048,0,6.215139442
G01103,2015-2019,US,1103,ZCTA5 01103,2332,338,654,93,122,214,51,860,0,42.53859348
